Cty,LC,R/T,Descr
,,,
,,,
,,,
485,#L,ABP,Application Buss Solutions
485,#L,ASW,Application Buss Software
485,#L,BOT,Bottom Line
485,#L,CE2,DP Engineer Call
485,#L,CIS,CISCO Equipment
485,#L,ESB,ESW Bottom Line
485,#L,ESS,Enterprise Systems Services
485,#L,ESW,Entitled Software
485,#L,HWM,Hardware Purchase MES
485,#L,HWT,HW Purchase Transportation
485,#L,IC2,Importation Charges
485,#L,M04,SLS Migration
485,#L,M27,SLS Migration
485,#L,M33,SLS Migration
485,#L,MA2,DP Maintainance Contract
485,#L,MDW,Middleware
485,#L,PC0,PSG HW Sales
485,#L,PC4,PC and PC Equipment Sales
485,#L,SRV,Server
485,#L,STR,STORAGE
485,#L,SWE,SW Revenue Defferal Earnback
866,10,04G,DM TRNG INFORMIX CRD
866,10,050,COMPUTER BILLING
866,10,051,COMPUTER BILLING
866,10,052,HOURLY SERVICE MAINT
866,10,053,HOURLY SERVICE MAINT
866,10,054,USAGE CHARGES
866,10,055,USAGE CHARGES
866,10,058,PROFESSIONAL SERVICES
866,10,059,PROFESSIONAL SERVICES
866,10,060,SOFTWARE
866,10,061,SOFTWARE
866,10,062,MISC - SEE INVOICE FOR DETAILS
866,10,063,MISC - SEE INVOICE FOR DETAILS
866,10,064,MISC - SEE INVOICE FOR DETAILS
866,10,065,SOFTWARE RENTAL
866,10,066,COMPUTER BILLING
866,10,067,COMPUTER BILLING
866,10,068,SOFTWARE
866,10,070,COMPUTER HARDWARE RENTAL
866,10,072,MISC - SEE INVOICE FOR DETAILS
866,10,073,COMPUTER SYSTEM SERVICE
866,10,074,COMPUTER SYSTEM SERVICE
866,10,075,TYPEWRITER MAINTENANCE
866,10,078,USAGE CHARGES
866,10,080,CGI #1
866,10,082,COMPUTER BILLING
866,10,083,CGI #2
866,10,085,MISC - SEE INVOICE FOR DETAILS
866,10,087,MISC - SEE INVOICE FOR DETAILS
866,10,088,COMPUTER HARDWARE
866,10,090,SOFTWARE RENTAL
866,10,092,PROFESSIONAL SERVICES
866,10,093,PROFESSIONAL SERVICES
866,10,094,PROFESSIONAL SERVICES
866,10,095,PROFESSIONAL SERVICES
866,10,096,INTEREST INVOICE
866,10,097,CREDIT OF INTEREST CHARGE
866,10,098,LATE PAYMENT FEES
866,10,099,CREDIT OF LATE PAYMENT FEES
866,10,ASC,ASCENTIAL MIGRATION
866,10,CO5,COGNOS MIGRATION
866,10,COD,COGNOS MIGRATION
866,10,COF,DEALER FINANCE
866,10,D2M,IPLA
866,10,D2S,IPLA
866,10,D3M,IPLA
866,10,D3S,IPLA
866,10,DAT,DATAMIRROR MIGRATION
866,10,DLD,IEMS
866,10,DPS,SW PRE-PACKAGED SERVICES
866,10,DSM,IPLA
866,10,DSW,IPLA
866,10,ESW,ESW BILLING
866,10,FNT,FILENET MIGRATION
866,10,GEO,COGNOS MIGRATION
866,10,GPP,GEODIS P2P
866,10,IFX,INFORMIX
866,10,ILG,ILOG MIGRATION
866,10,ISS,ISS MIGRATION
866,10,LED,LED
866,10,LPD,IPLA LPC
866,10,LPS,LOTUS PROF. SERVICES
866,10,MAX,PCD (MAX)
866,10,MRO,MRO MIGRATION
866,10,PBS,PROFESSIONAL BILLING SERVICES
866,10,PC0,PC COMPANY
866,10,PRN,PRINCETON MIGRATION
866,10,PWC,PROFESSIONAL SERVICES
866,10,SAP,PC COMPANY
866,10,TL1,TELELOGIC MIGRATION
866,10,VAL,VALLENT MIGRATION
866,35,098,LATE PAYMENT CREDIT
866,35,F1A,PRIME PERIOD
866,35,F1B,INSTALMENT PAYMENT
866,35,F1C,LOAN REPAYMENT
866,35,F2A,PEPPERCORN
866,35,F2B,RENEWAL
866,35,F2C,CONVERSION
866,35,F2D,SECOND TERM
866,35,F2E,CONTINUATION
866,35,FBC,RENTAL REBATE
866,35,FBI,RENTAL REBATE INVOICE
866,35,FDC,DISPOSAL CREDIT
866,35,FDI,DISPOSAL INVOICE
866,35,FMC,REPAIR/COLLECTION CREDIT NOTE
866,35,FMI,REPAIR/COLLECTION INVOICE
866,35,FRA,RENTAL ADJUSTMENT
866,35,FSC,SUNDRY CREDIT
866,35,FSI,SUNDRY CHARGE
866,35,FTC,TERMINATION CREDIT NOTE
866,35,FTI,TERMINATION CHARGE
866,35,FVC,VAT CREDIT NOTE
866,35,FVI,VAT INVOICE
889,#L,ATT,TSA Charge
889,#L,CAT,SW License Charge
889,#L,COF,Commercial Financing
889,#L,DPC,DPA
889,#L,DSW,Distributed SW Purchase
889,#L,ESW,SW Purchase
889,#L,FTO,FTO Services
889,#L,GBS,Global Business SVCS
889,#L,GPR,GPR Charge
889,#L,GTS,Global Tech SVCS
889,#L,HWP,HW Purchase
889,#L,IPC,IPP
889,#L,ITM,Maintenance Service
889,#L,LEA,Leasing
889,#L,LP1,Late Payment Charge
889,#L,LP2,Interest Charge
889,#L,LP3,Interest Charge
889,#L,LPC,Late Payment Charge
889,#L,MSA,MSA Charge
889,#L,NCU,Other Charges
889,#L,PAR,Parts Stock Purchase
889,#L,PEC,Per Call Service
889,#L,PMT,Multiple Supplies
889,#L,PRE,Prepayment
889,#L,REG,Other Charges
889,#L,SAP,HVEC Purchase
889,#L,SG1,Financed Business
889,#L,SG2,Financed Business
889,#L,SWP,SW Purchase
889,#L,TFN,Defer Payment Business
889,#L,TSA,Transition Support Agreement
889,#L,VAT,VAT Recharge
889,58,GPI,Infoprint GP
