                                Title: B2B billing analysis Spain      Country: Spain,,,,,,,,,,,,,,,,,,,,,,
                                Description: B2B analysis,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                Period: Billing from 2010-07-01 to 2014-07-31,,,,,,,,,,,,,,,,,,,,,,
                                Run date: 01Aug2014,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Country,Ctry code,Customer,Boarding date,Cust nbr,Inv nbr,Inv date,Due date,Inv tot amt,Revtype,Settled date,Pmt delay,Status,Rundate,Disputenumber,Status2,Startdate,Enddate,Dispreasoncode,Dispreasoncodedesc,Invdisputedate,Resdate,Paper / Electronic
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4110519,02-09-2011,01-11-2011,"2,789.34",TLA,30-12-2011,59,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4110520,02-09-2011,01-11-2011,"8,727.55",TLA,02-01-2012,62,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4112566,05-10-2011,04-12-2011,"1,080.38",TLA,01-06-2012,180,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4112567,05-10-2011,04-12-2011,"2,789.34",TLA,11-11-2011,-23,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FHP5803174,31-10-2011,20-12-2011,750.48,MAN,28-11-2011,-22,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4113537,04-11-2011,03-01-2012,"2,789.34",TLA,01-06-2012,150,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4114814,05-12-2011,03-02-2012,"2,789.34",TLA,01-06-2012,119,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL4114815,05-12-2011,03-02-2012,"8,727.55",TLA,01-06-2012,119,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1200685,05-01-2012,05-03-2012,"1,080.38",TLA,15-05-2012,71,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1200686,05-01-2012,05-03-2012,"2,789.34",TLA,24-05-2012,80,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1201127,02-02-2012,02-04-2012,"2,789.34",TLA,19-06-2012,78,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1202397,02-03-2012,01-05-2012,"2,789.34",TLA,21-06-2012,51,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1202398,02-03-2012,01-05-2012,"8,727.55",TLA,12-11-2012,195,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1203907,03-04-2012,02-06-2012,"2,789.34",TLA,23-07-2012,51,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1204993,03-05-2012,02-07-2012,"2,789.34",TLA,12-11-2012,133,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1206083,05-06-2012,04-08-2012,"2,789.34",TLA,18-09-2012,45,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1208150,04-07-2012,02-09-2012,"2,789.34",TLA,05-11-2012,64,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1208151,04-07-2012,02-09-2012,131.10,TLA,12-09-2012,10,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1208152,04-07-2012,02-09-2012,"1,424.38",TLA,08-10-2012,36,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1208522,02-08-2012,01-10-2012,"2,789.34",TLA,23-11-2012,53,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1209505,20-08-2012,01-09-2012,"9,969.30",TLA,21-02-2013,173,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1210662,05-09-2012,04-11-2012,"2,860.26",TLA,27-11-2012,23,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1210924,03-10-2012,02-12-2012,"2,860.26",TLA,11-12-2012,9,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1210925,03-10-2012,02-12-2012,"10,222.76",TLA,21-02-2013,81,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1212928,05-11-2012,04-01-2013,"2,860.26",TLA,02-01-2013,-2,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1213402,04-12-2012,02-02-2013,"2,860.26",TLA,02-01-2013,-31,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1300020,03-01-2013,04-03-2013,"2,860.26",TLA,21-02-2013,-11,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1300021,03-01-2013,04-03-2013,"10,222.76",TLA,08-04-2013,35,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1302094,06-02-2013,07-04-2013,"2,860.26",TLA,08-04-2013,1,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1302689,05-03-2013,04-05-2013,"2,860.26",TLA,15-05-2013,11,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1304930,04-04-2013,03-06-2013,"2,860.26",TLA,21-05-2013,-13,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1304931,04-04-2013,03-06-2013,"10,222.76",TLA,07-06-2013,4,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1305436,03-05-2013,01-06-2013,"2,860.26",TLA,06-06-2013,5,Settled,31-07-2014,,,,,,,,,Paper invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1306764,04-06-2013,01-07-2013,"2,860.26",TLA,16-07-2013,15,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1308249,03-07-2013,01-08-2013,"2,860.26",TLA,02-08-2013,1,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1308250,03-07-2013,01-08-2013,"10,222.76",TLA,17-09-2013,47,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1309780,19-08-2013,01-09-2013,"2,860.26",TLA,23-09-2013,22,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1311191,03-09-2013,01-10-2013,"2,860.26",TLA,26-09-2013,-5,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1313002,04-10-2013,01-11-2013,"2,860.26",TLA,20-11-2013,19,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1313003,04-10-2013,01-11-2013,"10,222.76",TLA,20-11-2013,19,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1314639,05-11-2013,01-12-2013,"2,860.26",TLA,06-12-2013,5,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1316333,03-12-2013,01-01-2014,"2,860.26",TLA,02-01-2014,1,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1400061,03-01-2014,01-02-2014,"2,860.26",TLA,11-02-2014,10,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1400062,03-01-2014,01-02-2014,"10,222.76",TLA,11-02-2014,10,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1402121,04-02-2014,01-03-2014,"2,860.26",TLA,24-02-2014,-5,Settled,31-07-2014,,,,,,,,,E-invoice
Spain,838,Ayuntamiento de Alzira,2013-05-14,00004827,  FNL1404041,04-03-2014,01-04-2014,"2,860.26",TLA,31-03-2014,-1,Settled,31-07-2014,,,,,,,,,E-invoice
